beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.020309176209047358,0.01,0.014192958317699853,2,1,378,-4.1187108741599666e-05,481,-2.5502853709968835e-08
0.020309176209047358,0.011937766417144363,0.014016333032671423,2,1,373,-4.091650901674213e-05,476,-2.5652983709556197e-08
0.020309176209047358,0.014251026703029978,0.013811347917943112,2,1,367,-4.0591789346913114e-05,470,-2.5838185453159208e-08
0.020309176209047358,0.017012542798525893,0.013574624320383881,2,2,361,-4.025969872026384e-05,465,-2.6007557312831937e-08
0.020309176209047358,0.020309176209047358,0.013302806090022186,2,2,354,-3.988085910546333e-05,458,-2.6237407306225872e-08
0.020309176209047358,0.024244620170823284,0.012992731180663289,2,2,346,-3.94478995456913e-05,450,-2.6510685178555982e-08
0.020309176209047358,0.028942661247167517,0.012641651086432506,2,3,336,-3.8892188215461845e-05,441,-2.6840709603493338e-08
0.020309176209047358,0.0345510729459222,0.012247493808046113,2,3,326,-3.8350988765746814e-05,431,-2.721858677483805e-08
0.020309176209047358,0.04124626382901352,0.01180915721935153,2,4,314,-3.7680462883539216e-05,420,-2.7665538093641126e-08
0.020309176209047358,0.04923882631706739,0.011326808881989003,2,5,301,-3.6949762600956865e-05,408,-2.8184410832156267e-08
0.020309176209047358,0.05878016072274912,0.010802157251608366,2,6,287,-3.615936623952476e-05,395,-2.8789304330831817e-08
0.020309176209047358,0.07017038286703829,0.01023865071652826,2,7,272,-3.5309714046461414e-05,381,-2.949850797532282e-08
0.020309176209047358,0.0837677640068292,0.00964155864556542,2,8,256,-3.440121159403554e-05,366,-3.03361654268391e-08
0.020309176209047358,0.1,0.009017895921400126,2,10,240,-3.343740175663662e-05,352,-3.11916061162655e-08
0.020309176209047358,0.1193776641714437,0.008376170759417776,2,12,223,-3.240467730824531e-05,337,-3.221140885511462e-08
0.020309176209047358,0.14251026703029984,0.007725963110636532,2,14,206,-3.135942978696375e-05,322,-3.3361095518046546e-08
0.020309176209047358,0.17012542798525893,0.007077372018895523,2,17,188,-3.0178156969476606e-05,307,-3.4647711790443865e-08
0.020309176209047358,0.20309176209047358,0.006440396823902213,2,20,171,-2.903259188649467e-05,293,-3.602058546711497e-08
0.020309176209047358,0.24244620170823283,0.00582433120310608,2,24,155,-2.7844737866346158e-05,281,-3.7325385879820585e-08
0.020309176209047358,0.28942661247167517,0.005237246273556554,2,29,139,-2.6553187405134805e-05,270,-3.865092780951209e-08
0.020309176209047358,0.345510729459222,0.004685620218377143,2,35,125,-2.5265306760967566e-05,262,-3.9662961948143747e-08
0.020309176209047358,0.41246263829013524,0.004174143000755468,2,41,111,-2.396876747547554e-05,254,-4.0832653280196836e-08
0.020309176209047358,0.49238826317067413,0.003705693988589592,2,49,99,-2.260235604838933e-05,250,-4.1320577784989634e-08
0.020309176209047358,0.5878016072274915,0.0032814652977226524,2,59,87,-2.1076387730794644e-05,248,-4.140744151433132e-08
0.020309176209047358,0.701703828670383,0.002901188825575959,2,70,77,-1.9610577111840603e-05,249,-4.085536898300125e-08
0.020309176209047358,0.837677640068292,0.002563420971660454,2,84,68,-1.8017428440446634e-05,254,-3.933936340708872e-08
0.020309176209047358,1.0,0.002265843694696249,2,100,60,-1.6420170661830142e-05,262,-3.7149707379706203e-08
0.020309176209047358,1.1937766417144369,0.0020055502603813498,2,119,53,-1.4789606678170398e-05,274,-3.4156135515405074e-08
0.020309176209047358,1.4251026703029992,0.0017792953084764412,2,143,47,-1.3064408933712016e-05,292,-3.017184511249888e-08
0.020309176209047358,1.7012542798525891,0.0015836991840754307,2,170,42,-1.142277297513242e-05,314,-2.59608476707555e-08
0.020309176209047358,2.030917620904737,0.0014154044877297503,2,203,38,-9.76981951094002e-06,343,-2.137816085544862e-08
0.020309176209047358,2.424462017082328,0.0012711881442761795,2,242,34,-8.125247407770467e-06,378,-1.6927598766188472e-08
0.020309176209047358,2.8942661247167516,0.0011480352447370045,2,289,31,-6.5382049782883685e-06,422,-1.2695543647161881e-08
0.020309176209047358,3.4551072945922217,0.0010431820432173482,2,346,28,-5.111055077245812e-06,476,-9.12688406651038e-09
0.020309176209047358,4.1246263829013525,0.0009541354013668328,2,412,25,-3.801873822904114e-06,539,-6.191976910267287e-09
0.020309176209047358,4.923882631706742,0.0008786751895645302,2,492,23,-2.5601717318299416e-06,617,-3.732028763600498e-09
0.020309176209047358,5.878016072274912,0.000814845063273725,2,588,22,-1.4145076183174106e-06,712,-1.8181331854979572e-09
0.020309176209047358,7.01703828670383,0.000760935887780494,2,702,20,-2.8005497500634747e-07,824,-3.1680427036917136e-10
0.020309176209047358,8.376776400682925,0.0007154650292154986,2,838,19,7.312969328665261e-07,959,
0.020309176209047358,10.0,0.0006771538317920653,2,1000,18,1.6663022014224709e-06,1120,
0.024244620170823284,0.01,0.016884525703262217,2,1,449,-4.502962483457642e-05,552,-2.371228269329985e-08
0.024244620170823284,0.011937766417144363,0.016675173809812975,2,1,444,-4.475902510971907e-05,547,-2.382066264487444e-08
0.024244620170823284,0.014251026703029978,0.01643218310823043,2,1,437,-4.4380185494918354e-05,540,-2.3976329278724124e-08
0.024244620170823284,0.017012542798525893,0.016151537004036143,2,2,430,-4.399397492329758e-05,534,-2.4119503795667533e-08
0.024244620170823284,0.020309176209047358,0.015829241852849677,2,2,421,-4.350689541855405e-05,525,-2.433271555847542e-08
0.024244620170823284,0.024244620170823284,0.01546152979370188,2,2,411,-4.2965695968839017e-05,515,-2.457991760231065e-08
0.024244620170823284,0.028942661247167517,0.01504511848637238,2,3,400,-4.235586469363806e-05,505,-2.484214938043288e-08
0.024244620170823284,0.0345510729459222,0.01457752282587829,2,3,388,-4.170642535398003e-05,493,-2.516984028604709e-08
0.024244620170823284,0.04124626382901352,0.014057403278844895,2,4,374,-4.0927659581829424e-05,480,-2.5547852423114498e-08
0.024244620170823284,0.04923882631706739,0.013484922651372678,2,5,359,-4.008871940930406e-05,466,-2.5981023596438147e-08
0.024244620170823284,0.05878016072274912,0.012862069868252578,2,6,342,-3.913596321295743e-05,450,-2.6514880225580916e-08
0.024244620170823284,0.07017038286703829,0.012192899120560584,2,7,324,-3.81239511849796e-05,433,-2.7134484829166973e-08
0.024244620170823284,0.0837677640068292,0.011483629838462805,2,8,305,-3.705308889763921e-05,415,-2.7859465336570832e-08
0.024244620170823284,0.1,0.01074256134950513,2,10,286,-3.592691922532577e-05,398,-2.860423505201096e-08
