beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.017012542798525893,0.17012542798525893,0.003979845614507983,3,34,157,-2.3118918406802463e-05,394,-4.148528281438857e-08
0.017012542798525893,0.20309176209047358,0.003694882983467663,3,41,146,-2.23581857309692e-05,390,-4.126344627744205e-08
0.017012542798525893,0.24244620170823283,0.0034064497358516728,3,48,134,-2.1529220862266877e-05,385,-4.1058091506344645e-08
0.017012542798525893,0.28942661247167517,0.0031190300642722477,3,58,123,-2.065932147331595e-05,384,-4.0356542962408094e-08
0.017012542798525893,0.345510729459222,0.002837045665340837,3,69,112,-1.9745174326484774e-05,384,-3.945247427766299e-08
0.017012542798525893,0.41246263829013524,0.002564588640824188,3,82,101,-1.8759939346105868e-05,386,-3.820450339301456e-08
0.017012542798525893,0.49238826317067413,0.0023051958960071148,3,98,91,-1.7731041769876776e-05,392,-3.6435643945990415e-08
0.017012542798525893,0.5878016072274915,0.0020616897746296822,3,118,81,-1.658276195295164e-05,402,-3.4104067853224e-08
0.017012542798525893,0.701703828670383,0.0018360966820717955,3,140,72,-1.5444576346794695e-05,415,-3.1527264527628595e-08
0.017012542798525893,0.837677640068292,0.0016296418916632448,3,168,64,-1.4221092225910375e-05,435,-2.835372084279124e-08
0.017012542798525893,1.0,0.0014428078909560719,3,200,57,-1.2999558206962624e-05,460,-2.5033812600066678e-08
0.017012542798525893,1.1937766417144369,0.0012754373710053516,3,239,50,-1.1683405977188199e-05,492,-2.1476849222772424e-08
0.017012542798525893,1.4251026703029992,0.0011268604919176723,3,285,44,-1.0372383778082942e-05,532,-1.7952755085300023e-08
0.017012542798525893,1.7012542798525891,0.000996028320411074,3,340,39,-9.072301397068878e-06,582,-1.45725735624982e-08
0.017012542798525893,2.030917620904737,0.0008816387287582797,3,406,35,-7.801020484816207e-06,644,-1.1465344627889782e-08
0.017012542798525893,2.424462017082328,0.0007822460451239581,3,485,31,-6.529914994049001e-06,719,-8.692182250744104e-09
0.017012542798525893,2.8942661247167516,0.0006963502656010131,3,579,27,-5.2862912740704494e-06,809,-6.3151565848789234e-09
0.017012542798525893,3.4551072945922217,0.0006224651133293096,3,691,25,-4.2264705385868885e-06,919,-4.4724555963882415e-09
0.017012542798525893,4.1246263829013525,0.0005591665247051431,3,825,22,-3.1913915889922957e-06,1050,-2.9746025547985753e-09
0.017012542798525893,4.923882631706742,0.0005051243911212273,3,985,20,-2.260480656131352e-06,1208,-1.8395838672943944e-09
0.017012542798525893,5.878016072274912,0.0004591208410119602,3,1176,18,-1.3876650552079375e-06,1397,-9.801832673183521e-10
0.017012542798525893,7.01703828670383,0.0004200582805369905,3,1403,17,-6.344954313381851e-07,1623,-3.867271078688014e-10
0.017012542798525893,8.376776400682925,0.0003869600502514064,3,1675,15,1.1107839469466343e-07,1893,
0.017012542798525893,10.0,0.00035896606697545064,3,2000,14,7.376934597336421e-07,2217,
0.020309176209047358,0.01,0.007693388399301419,4,2,303,-3.6369977379442066e-05,509,-4.413189508741696e-08
0.020309176209047358,0.011937766417144363,0.007634686297299567,4,2,301,-3.62617374502591e-05,507,-4.421947398938967e-08
0.020309176209047358,0.014251026703029978,0.007565810411308881,4,3,298,-3.609749306674518e-05,505,-4.4295750585020836e-08
0.020309176209047358,0.017012542798525893,0.0074852521007533705,4,3,295,-3.593513317297065e-05,502,-4.44301844374019e-08
0.020309176209047358,0.020309176209047358,0.007391376853349734,4,4,291,-3.5715369764522975e-05,499,-4.455287880410531e-08
0.020309176209047358,0.024244620170823284,0.007282452469784527,4,5,287,-3.5494253489354096e-05,496,-4.4676081826294046e-08
0.020309176209047358,0.028942661247167517,0.007156694971831675,4,6,282,-3.521770901728445e-05,492,-4.4847327090062717e-08
0.020309176209047358,0.0345510729459222,0.007012336002509725,4,7,276,-3.4885779481002526e-05,487,-4.506973732753156e-08
0.020309176209047358,0.04124626382901352,0.006847714577280788,4,8,270,-3.455262653537917e-05,482,-4.529709823725639e-08
0.020309176209047358,0.04923882631706739,0.006661394054501468,4,10,262,-3.409929014158771e-05,476,-4.55580511724932e-08
0.020309176209047358,0.05878016072274912,0.006452301861751612,4,12,254,-3.364152663901543e-05,470,-4.5823153861577084e-08
0.020309176209047358,0.07017038286703829,0.006219884796939252,4,14,245,-3.312550287918786e-05,463,-4.6148652659776905e-08
0.020309176209047358,0.0837677640068292,0.005964266979475861,4,17,235,-3.253370649716646e-05,456,-4.645018060703378e-08
0.020309176209047358,0.1,0.005686391693589174,4,20,224,-3.187990944121433e-05,448,-4.681612641155769e-08
0.020309176209047358,0.1193776641714437,0.005388123991075883,4,24,212,-3.1141540026888244e-05,440,-4.7149860748074495e-08
0.020309176209047358,0.14251026703029984,0.005072289931060861,4,29,200,-3.036554048821915e-05,433,-4.737213804714376e-08
0.020309176209047358,0.17012542798525893,0.0047426324572302425,4,34,187,-2.9520848123320426e-05,425,-4.765423923826504e-08
0.020309176209047358,0.20309176209047358,0.004403673850844606,4,41,173,-2.8545461056108353e-05,418,-4.7741271501385385e-08
0.020309176209047358,0.24244620170823283,0.004060489379890798,4,48,160,-2.7605470270436143e-05,412,-4.7727299914308685e-08
0.020309176209047358,0.28942661247167517,0.0037184131490752594,4,58,146,-2.648594712329909e-05,408,-4.730985124910526e-08
0.020309176209047358,0.345510729459222,0.00338271092402905,4,69,133,-2.53619482622738e-05,406,-4.65938202937129e-08
0.020309176209047358,0.41246263829013524,0.003058261753160059,4,82,120,-2.414383556954574e-05,406,-4.548574900065136e-08
0.020309176209047358,0.49238826317067413,0.002749288311854521,4,98,108,-2.285036473935795e-05,410,-4.3747826503595405e-08
0.020309176209047358,0.5878016072274915,0.0024591656545786935,4,118,97,-2.1452740679567366e-05,419,-4.126479318221006e-08
0.020309176209047358,0.701703828670383,0.0021903226605118386,4,140,86,-1.9996278456397344e-05,430,-3.84958387039838e-08
0.020309176209047358,0.837677640068292,0.001944234300316595,4,168,77,-1.8462880358822785e-05,449,-3.489619785065167e-08
0.020309176209047358,1.0,0.0017214898700714898,4,200,68,-1.6859609444439575e-05,472,-3.106502329827457e-08
0.020309176209047358,1.1937766417144369,0.0015219147894301405,4,239,60,-1.5184222255050636e-05,503,-2.685571675813696e-08
0.020309176209047358,1.4251026703029992,0.001344721716025738,4,285,53,-1.3497094987993514e-05,542,-2.260365586145752e-08
0.020309176209047358,1.7012542798525891,0.0011886693555465376,4,340,47,-1.180589277666993e-05,591,-1.845016686983486e-08
0.020309176209047358,2.030917620904737,0.001052212546047797,4,406,41,-1.0080189397913338e-05,651,-1.453230695737463e-08
0.020309176209047358,2.424462017082328,0.00093363314573902,4,485,37,-8.462118739311306e-06,726,-1.1069117229111691e-08
0.020309176209047358,2.8942661247167516,0.0008311466505558083,4,579,33,-6.87981446649418e-06,816,-8.090853404005762e-09
0.020309176209047358,3.4551072945922217,0.0007429836283395437,4,691,29,-5.397319584694657e-06,924,-5.656618999638065e-09
0.020309176209047358,4.1246263829013525,0.0006674478117803971,4,825,26,-4.073358081793584e-06,1055,-3.764517098992259e-09
0.020309176209047358,4.923882631706742,0.0006029541980550558,4,985,24,-2.869734003802315e-06,1213,-2.3181152895104164e-09
0.020309176209047358,5.878016072274912,0.0005480510603616838,4,1176,22,-1.7431885768637478e-06,1402,-1.2233932519677078e-09
0.020309176209047358,7.01703828670383,0.0005014297062192085,4,1403,20,-7.037342192696044e-07,1627,-4.270750207971868e-10
0.020309176209047358,8.376776400682925,0.00046192539224501237,4,1675,18,2.540478626973328e-07,1897,
0.020309176209047358,10.0,0.00042851222569364436,4,2000,17,1.0712836865161384e-06,2221,
0.024244620170823284,0.01,0.009151447004046107,5,2,360,-4.4318361715763195e-05,567,-4.707707851685065e-08
0.024244620170823284,0.011937766417144363,0.009081883332302233,5,2,358,-4.421012178658029e-05,565,-4.716651921070743e-08
0.024244620170823284,0.014251026703029978,0.009000258278580453,5,3,354,-4.399138666990112e-05,562,-4.729442963565529e-08
0.024244620170823284,0.017012542798525893,0.008904781277322239,5,3,351,-4.3829026776126716e-05,559,-4.7431958330945325e-08
0.024244620170823284,0.020309176209047358,0.008793511547884039,5,4,346,-4.355444702478203e-05,555,-4.7608813590116336e-08
0.024244620170823284,0.024244620170823284,0.008664391205725016,5,5,341,-4.327819919852967e-05,551,-4.778742016533023e-08
0.024244620170823284,0.028942661247167517,0.008515299348146503,5,6,335,-4.294621802752438e-05,546,-4.8016791175675734e-08
0.024244620170823284,0.0345510729459222,0.008344131608284348,5,7,329,-4.2612676344280594e-05,541,-4.825023364314575e-08
0.024244620170823284,0.04124626382901352,0.008148908613067694,5,8,321,-4.216938532877769e-05,534,-4.859119806505541e-08
0.024244620170823284,0.04923882631706739,0.00792791444520241,5,10,312,-4.165731087658352e-05,527,-4.8923416729205054e-08
0.024244620170823284,0.05878016072274912,0.00767986228389045,5,12,302,-4.108565101880908e-05,519,-4.931777382581395e-08
0.024244620170823284,0.07017038286703829,0.007404078822162905,5,14,292,-4.0508877655062814e-05,511,-4.9723667765334626e-08
0.024244620170823284,0.0837677640068292,0.007100692245878965,5,17,280,-3.979720466005536e-05,502,-5.0172976122107106e-08
0.024244620170823284,0.1,0.006770801607796169,5,20,267,-3.9021668262047564e-05,492,-5.069856078116563e-08
0.024244620170823284,0.1193776641714437,0.00641660016633541,5,24,253,-3.815445940662463e-05,482,-5.120579155924499e-08
0.024244620170823284,0.14251026703029984,0.006041423969848493,5,29,238,-3.718668855212957e-05,472,-5.168263363371355e-08
0.024244620170823284,0.17012542798525893,0.005649701722816161,5,34,222,-3.6146722984803e-05,461,-5.224420851130688e-08
