beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.014251026703029978,0.0837677640068292,0.003813776255980398,1,8,31,-4.26669570019528e-06,140,-1.2725009544274622e-08
0.014251026703029978,0.1,0.0035840926565261,1,10,29,-4.1448245759957715e-06,140,-1.284420383016973e-08
0.014251026703029978,0.1193776641714437,0.0033436979548997145,1,12,27,-4.021195504482958e-06,140,-1.2967415364343625e-08
0.014251026703029978,0.14251026703029984,0.0030958165455066606,1,14,25,-3.896099597237213e-06,140,-1.309613309995702e-08
0.014251026703029978,0.17012542798525893,0.002844114326595018,1,17,23,-3.7603545416849373e-06,141,-1.315269164632717e-08
0.014251026703029978,0.20309176209047358,0.0025924903336101324,1,20,21,-3.622537632061758e-06,142,-1.320648061269325e-08
0.014251026703029978,0.24244620170823283,0.0023448387758888104,1,24,19,-3.4725510780276673e-06,144,-1.3168566848796615e-08
0.014251026703029978,0.28942661247167517,0.00210481169504261,1,29,17,-3.309734542664962e-06,147,-1.3025322875501621e-08
0.014251026703029978,0.345510729459222,0.0018756123290995241,1,35,15,-3.134222687518979e-06,151,-1.2766691191523336e-08
0.014251026703029978,0.41246263829013524,0.001659842762280549,1,41,14,-3.0123403462465272e-06,156,-1.2335546053425584e-08
0.014251026703029978,0.49238826317067413,0.0014594186050094716,1,49,12,-2.8146658728518528e-06,162,-1.1846236838602074e-08
0.014251026703029978,0.5878016072274915,0.0012755514431257403,1,59,10,-2.5979557871146635e-06,170,-1.1150024837401989e-08
0.014251026703029978,0.701703828670383,0.0011087896573249948,1,70,9,-2.4302103275495155e-06,180,-1.0267048278620682e-08
0.014251026703029978,0.837677640068292,0.0009591018685931302,1,84,8,-2.2409860916713366e-06,193,-9.20700941524789e-09
0.014251026703029978,1.0,0.000825985171263378,1,100,7,-2.045385975159991e-06,208,-8.113391412772673e-09
0.014251026703029978,1.1937766417144369,0.0007085817306175063,1,119,6,-1.8397914543441138e-06,226,-6.974190501683524e-09
0.014251026703029978,1.4251026703029992,0.0006057908958133038,1,143,5,-1.616755929368072e-06,249,-5.763835755322895e-09
0.014251026703029978,2.030917620904737,0.00043900776297941033,1,203,4,-1.225108426222372e-06,308,-3.6767959970659423e-09
